10;06;2024;00;00
11
107699;SVOBODA;GIBANJE SVOBODA;005da3
107700;SDS;SLOVENSKA DEMOKRATSKA STRANKA - SDS;fcdc00
107649;VESNA;VESNA - ZELENA STRANKA;00964f
107651;DESUS IN DD;DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE - DeSUS in DOBRA DRŽAVA;0673ba
107650;SLS;SLOVENSKA LJUDSKA STRANKA - SLS;93c54b
107648;NSi;NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI;009ac7
107701;LEVICA;LEVICA;fb4c48
107652;ZELENI;ZELENI SLOVENIJE;75a948
107698;SD;SOCIALNI DEMOKRATI - SD;e3000f
107702;RESNI.CA;DRŽAVLJANSKO GIBANJE RESNI.CA;7c5199
107654;NOT;NIČ OD TEGA, STRANKA PRILAGOJENA VSAKEMU, UTEMELJITELJICA NIČODTEGAIZMA, KI ZDRUŽUJE...;f963ff
416065;397286;18779;95,49
107699;85938;21,63;2;0
107700;125729;31,64;4;0
107649;40762;10,26;1;0
107651;8486;2,14;0;0
107650;29719;7,48;0;0
107648;30960;7,79;1;0
107701;18030;4,54;0;0
107652;6128;1,54;0;0
107698;29733;7,48;1;0
107702;15925;4,01;0;0
107654;5981;1,51;0;0
2534;6,65
203;8,81;221;4,77;63;4,00;230;4,38;149;5,58;81;5,29;382;9,46;312;6,55;161;6,78;149;3,87;583;11,45
3524;7,31
731;9,40;538;7,98;206;6,69;192;6,66;214;5,64;483;7,83;138;5,69;216;5,02;182;5,18;302;7,27;322;9,57
3590;7,59
181;3,67;337;11,87;295;8,42;305;6,21;259;7,77;218;4,19;275;5,11;264;6,88;128;3,80;926;16,28;402;9,38
3140;7,72
216;7,77;396;6,18;161;4,19;303;7,76;414;11,09;252;9,15;207;6,35;190;6,92;366;8,04;236;12,50;399;8,29
3708;6,52
420;8,38;343;9,31;356;8,88;544;8,49;357;5,22;368;4,77;186;5,51;359;6,56;252;6,11;278;4,21;245;6,77
3241;7,53
358;11,34;496;8,13;324;7,24;336;7,81;332;7,02;237;7,73;304;7,21;220;6,60;345;7,16;139;5,75;150;6,14
5462;10,14
509;11,83;451;8,97;252;8,26;354;7,29;533;7,96;712;11,95;1226;20,22;230;8,75;476;8,37;415;6,74;304;8,89
107701
2719;4,17
397;4,63;145;4,01;227;4,25;289;5,73;251;4,80;276;3,14;107;3,60;461;5,73;197;2,98;220;3,36;149;3,38
2079;5,46
46;2,00;309;6,68;112;7,11;462;8,79;161;6,03;96;6,27;177;4,38;252;5,29;72;3,03;230;5,97;162;3,18
3306;6,86
274;3,52;315;4,67;118;3,83;240;8,33;310;8,17;366;5,94;329;13,57;470;10,92;389;11,07;344;8,28;151;4,49
2528;5,35
130;2,63;60;2,11;103;2,94;114;2,32;186;5,58;479;9,20;463;8,61;264;6,88;395;11,72;151;2,65;183;4,27
1338;3,29
49;1,76;249;3,88;230;5,98;127;3,25;110;2,95;47;1,71;121;3,71;70;2,55;144;3,16;49;2,60;142;2,95
1889;3,32
172;3,43;100;2,71;159;3,97;154;2,40;343;5,02;189;2,45;57;1,69;148;2,71;116;2,81;338;5,12;113;3,12
1802;4,18
68;2,15;147;2,41;80;1,79;182;4,23;231;4,88;111;3,62;165;3,91;258;7,74;260;5,39;142;5,88;158;6,47
1624;3,02
109;2,53;108;2,15;104;3,41;131;2,70;245;3,66;244;4,10;142;2,34;77;2,93;125;2,20;284;4,61;55;1,61
107652
974;1,49
135;1,57;63;1,74;104;1,95;85;1,69;87;1,66;115;1,31;32;1,08;113;1,41;70;1,06;88;1,35;82;1,86
878;2,31
16;0,69;106;2,29;33;2,09;123;2,34;52;1,95;64;4,18;94;2,33;226;4,74;36;1,52;51;1,32;77;1,51
939;1,95
182;2,34;122;1,81;33;1,07;52;1,80;71;1,87;117;1,90;55;2,27;107;2,49;60;1,71;66;1,59;74;2,20
640;1,35
32;0,65;33;1,16;35;1,00;65;1,32;56;1,68;74;1,42;84;1,56;54;1,41;72;2,14;81;1,42;54;1,26
416;1,02
25;0,90;96;1,50;56;1,46;48;1,23;39;1,05;16;0,58;25;0,77;15;0,55;40;0,88;16;0,85;40;0,83
788;1,39
70;1,40;53;1,44;48;1,20;69;1,08;74;1,08;51;0,66;20;0,59;45;0,82;189;4,58;102;1,54;67;1,85
659;1,53
24;0,76;55;0,90;36;0,80;78;1,81;91;1,92;50;1,63;51;1,21;87;2,61;105;2,18;34;1,41;48;1,97
745;1,38
36;0,84;69;1,37;30;0,98;36;0,74;47;0,70;65;1,09;77;1,27;40;1,52;184;3,23;113;1,84;48;1,40
107698
3651;5,60
586;6,84;244;6,75;367;6,87;338;6,70;289;5,52;375;4,27;147;4,94;385;4,79;326;4,93;268;4,10;326;7,40
3797;9,97
145;6,30;513;11,08;160;10,15;629;11,97;233;8,73;171;11,18;279;6,91;320;6,72;349;14,71;500;12,97;498;9,78
3188;6,61
521;6,70;403;5,98;177;5,75;178;6,18;264;6,96;308;5,00;216;8,91;351;8,16;298;8,48;282;6,79;190;5,65
2718;5,75
274;5,55;103;3,63;128;3,65;190;3,87;189;5,67;471;9,04;333;6,19;273;7,11;251;7,45;265;4,66;241;5,62
3455;8,49
130;4,67;526;8,21;371;9,64;329;8,43;278;7,45;85;3,09;424;13,01;278;10,13;492;10,81;158;8,37;384;7,98
4553;8,01
514;10,25;205;5,56;239;5,96;369;5,76;422;6,17;361;4,68;174;5,16;974;17,81;167;4,05;844;12,78;284;7,84
3261;7,57
195;6,17;360;5,90;299;6,68;344;7,99;388;8,20;240;7,83;248;5,88;325;9,75;417;8,65;244;10,10;201;8,23
4740;8,80
328;7,63;302;6,01;289;9,48;793;16,32;1003;14,98;557;9,35;288;4,75;187;7,11;256;4,50;509;8,27;228;6,67
107702
3360;5,16
525;6,12;149;4,12;330;6,18;392;7,77;444;8,49;461;5,24;171;5,75;304;3,78;233;3,53;201;3,07;150;3,41
1512;3,97
76;3,30;206;4,45;84;5,33;276;5,25;182;6,82;56;3,66;131;3,24;146;3,06;63;2,65;172;4,46;120;2,36
1825;3,79
257;3,31;245;3,63;136;4,42;147;5,10;145;3,82;170;2,76;98;4,04;153;3,55;137;3,90;172;4,14;165;4,90
1807;3,82
132;2,67;81;2,85;111;3,17;137;2,79;134;4,02;266;5,11;257;4,78;145;3,78;161;4,78;211;3,71;172;4,01
1526;3,75
100;3,60;271;4,23;142;3,69;158;4,05;156;4,18;93;3,38;136;4,17;98;3,57;152;3,34;50;2,65;170;3,53
2091;3,68
142;2,83;124;3,37;141;3,52;200;3,12;289;4,23;260;3,37;109;3,23;237;4,33;162;3,93;312;4,73;115;3,18
1733;4,02
121;3,83;221;3,62;120;2,68;192;4,46;184;3,89;163;5,32;185;4,39;123;3,69;214;4,44;90;3,72;120;4,91
1950;3,62
149;3,46;170;3,38;115;3,77;171;3,52;182;2,72;281;4,72;211;3,48;116;4,41;203;3,57;223;3,62;129;3,77
107654
939;1,44
146;1,70;62;1,71;95;1,78;81;1,61;91;1,74;110;1,25;43;1,45;91;1,13;73;1,11;95;1,45;52;1,18
696;1,83
22;0,96;118;2,55;46;2,92;112;2,13;70;2,62;28;1,83;68;1,68;81;1,70;22;0,93;74;1,92;55;1,08
842;1,75
116;1,49;128;1,90;57;1,85;46;1,60;71;1,87;83;1,35;43;1,77;84;1,95;75;2,13;84;2,02;55;1,63
774;1,64
57;1,16;23;0,81;58;1,66;64;1,30;47;1,41;99;1,90;126;2,34;70;1,82;83;2,46;76;1,34;71;1,66
587;1,44
39;1,40;92;1,44;76;1,98;60;1,54;70;1,88;38;1,38;44;1,35;35;1,28;57;1,25;17;0,90;59;1,23
791;1,39
86;1,72;36;0,98;64;1,60;86;1,34;119;1,74;93;1,20;32;0,95;66;1,21;57;1,38;111;1,68;41;1,13
642;1,49
58;1,84;77;1,26;44;0,98;57;1,32;67;1,42;52;1,70;55;1,30;58;1,74;90;1,87;46;1,90;38;1,56
627;1,16
52;1,21;63;1,25;48;1,57;57;1,17;60;0,90;75;1,26;47;0,78;31;1,18;57;1,00;98;1,59;39;1,14
99
107649;1;Vladimir Prebilič;29827;40762;73,17
107651;1;Uroš Lipušček;5876;8486;69,24
107650;1;Peter Gregorčič;18446;29719;62,07
107702;1;Zoran Stevanović;8667;15925;54,42
107654;1;Violeta Tomić;3054;5981;51,06
107699;1;Irena Joveva;41017;85938;47,73
107698;1;Matjaž Nemec;14056;29733;47,27
107700;1;Romana Tomc;43846;125729;34,87
107648;1;Matej Tonin;10223;30960;33,02
107652;1;Klemen Grošelj;2008;6128;32,77
107701;1;Nataša Sukič;5641;18030;31,29
107701;9;Luka Mesec;4814;18030;26,70
107648;9;Ljudmila Novak;6320;30960;20,41
107650;3;Franc Bogovič;5394;29719;18,15
107698;9;Milan Brglez;4612;29733;15,51
107700;9;Zala Tomašič;16074;125729;12,78
107652;9;Aleksander Merlo;685;6128;11,18
107699;6;Marjan Šarec;8419;85938;9,80
107648;3;David Klobasa;2931;30960;9,47
107648;6;Janez Cigler Kralj;2793;30960;9,02
107702;3;Sabina Senčar;1329;15925;8,35
